"Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseNumber","LicenseStatus","Phone","ZipCode"
"400 N Rose St, Suite A, Mount Clemens, Macomb, MI 48043-1522, UNITED STATES","a0ics000003LEW5AAO","Michigan Youth Treatment Center","Child Caring Institution: MDHHS","Mount Clemens","Macomb","2025-12-27","Michigan Department of Health and Human Services","2027-12-26","CS501003092","Regular","5172562863","48043-1522"
"3030 1/2 Long Ln, Evart, Osceola, MI 49631-7218, UNITED STATES","a0ics000007kA3ZAAU","Osceola Youth Center Shelter","Child Caring Institution: Private","Evart","Osceola","2025-11-19","Youth Opportunity Investments, LLC","2026-05-17","CI671003777","Original","2697622100","49631-7218"
"15999 Joy Rd, Detroit, Wayne, MI 48228-2103, UNITED STATES","a0ics00000AEJJZAA5","Christ Child House","Child Caring Institution: Private","Detroit","Wayne","2026-01-22","Christ Child Society","2026-07-20","CI821004113","Original","3135846077","48228-2103"
"713 9th Street, Bay City, Bay, MI 48708, USA","a0i8z0000006SE6AAM","Samaritan Youth Shelter CPA","Child Placing Agency: Private","Bay City","Bay","2025-08-27","City Rescue of Saginaw Inc.","2027-08-26","CB090411936","Regular","9895968336","48708-6403"
"15999 Joy Rd, Building 15999, Detroit, Wayne, MI 48228-2103, UNITED STATES","a0i8z0000006SEvAAM","Christ Child Detroit","Child Placing Agency: Private","Detroit","Wayne","2025-06-05","Christ Child Society","2027-06-04","CB820413571","Regular","3135846077","48228-2103"
"601 E Wackerly St, Midland, Midland, MI 48642-7070, UNITED STATES","a0i8z0000006TNpAAM","ADOPTION OPTION, INC.","Child Placing Agency: Private","Midland","Midland","2024-10-22","Adoption Option, Inc.","2026-10-21","CB560263403","Regular","9898390534","48642-7070"
"933 N MELBORN ST, DEARBORN, Wayne, MI 48128-1784, UNITED STATES","a0i8z0000006TNuAAM","KEANE CENTER FOR ADOPTION","Child Placing Agency: Private","Dearborn","Wayne","2024-12-27","Keane Center For Adoption","2026-12-26","CB820201219","Regular","3132774664","48128-1784"
"4410 W 13 MILE RD, ROYAL OAK, Oakland, MI 48073-6515, UNITED STATES","a0i8z0000006TQgAAM","CHILD SAFE  MICHIGAN JUDSON CS","Child Placing Agency: Private","Royal Oak","Oakland","2025-06-18","Judson CS","2027-06-17","CB630369213","Regular","2483530921","48073-6515"
"3709 DEEP RIVER RD, STANDISH, Arenac, MI 48658-9458, UNITED STATES","a0i8z0000006TWFAA2","ARENAC COUNTY DHHS","Child Placing Agency: MDHHS","Standish","Arenac","2025-06-02","Michigan Department of Health and Human Services","2027-06-01","CP060200953","Regular","9898464551","48658-9458"
"354 NORWOOD AVE SE, GRAND RAPIDS, Kent, MI 49506-1717, UNITED STATES","a0i8z0000006TXaAAM","FAMILIES THROUGH ADOPTION","Child Placing Agency: Private","Grand Rapids","Kent","2025-01-12","Families Through Adoption Inc.","2027-01-11","CB410284045","Regular","6164545170","49506-1717"
"28303 JOY RD, WESTLAND, Wayne, MI 48185-5524, UNITED STATES","a0i8z0000006TXbAAM","SPECTRUM HUMAN SERVICES INDEPENDENT LIVING","Child Placing Agency: Private","Westland","Wayne","2025-04-06","Spectrum Child & Family Services","2027-04-05","CB820252473","Regular","7344588736","48185-5524"
"12185 JAMES ST, HOLLAND, Ottawa, MI 49424-9622, UNITED STATES","a0i8z0000006TXdAAM","OTTAWA COUNTY DHHS","Child Placing Agency: MDHHS","HOLLAND","Ottawa","2025-08-31","Michigan Department of Health and Human Services","2027-08-30","CP700201350","Regular","6163947200","49424-9622"
"6019 WESTSIDE SAGINAW RD, BAY CITY, Bay, MI 48706-9357, UNITED STATES","a0i8z0000006TYoAAM","WELLSPRING LUTHERAN SERVICES BAY CITY","Child Placing Agency: Private","Bay City","Bay","2025-11-29","Wellspring Lutheran Services","2027-11-28","CB090201254","Regular","9896867650","48706-9357"
"5826 Executive Dr, Lansing, Ingham, MI 48911-5303, UNITED STATES","a0i8z0000006TYqAAM","WELLSPRING LUTHERAN SERVICES -LANSING","Child Placing Agency: Private","Lansing","Ingham","2025-09-22","Wellspring Lutheran Services","2027-09-21","CB330371021","Regular","5176641032","48911-5303"
"1545 KEYSTONE AVE, LANSING, Ingham, MI 48911-4039, UNITED STATES","a0i8z0000006TaFAAU","Legacy Adoption Services - West","Child Placing Agency: Private","Lansing","Ingham","2024-12-10","Lutheran Adoption Services, Inc.","2026-12-09","CB330361250","Regular","2692715973","48911-4039"
"1050 INDEPENDENCE BLVD, CHARLOTTE, Eaton, MI 48813-1032, UNITED STATES","a0i8z0000006TbVAAU","Clinton/Eaton County DHHS","Child Placing Agency: MDHHS","CHARLOTTE","Eaton","2025-08-13","Michigan Department of Health and Human Services","2027-08-12","CP230201103","Regular","5175430860","48813-1032"
"185 E. MAIN STREET ST.102, BENTON HARBOR, Berrien, MI 49022-4432, UNITED STATES","a0i8z0000006TbXAAU","CATHOLIC CHARITIES WEST MICHIGAN  - BENTON HARBOR","Child Placing Agency: Private","BENTON HARBOR","Berrien","2024-10-21","Catholic Charities West Michigan","2026-10-20","CB110403982","Regular","2695931000","49022-4432"
"40 JEFFERSON AVE, GRAND RAPIDS, Kent, MI 49503-4304, UNITED STATES","a0i8z0000006TcoAAE","CATHOLIC CHARITIES WEST MICHIGAN - GR","Child Placing Agency: Private","Grand Rapids","Kent","2025-01-20","Catholic Charities West Michigan","2027-01-19","CB410245705","Regular","6164561443","49503-4304"
"525 E HURON RIVER DR, BELLEVILLE, Wayne, MI 48111-3665, UNITED STATES","a0i8z0000006TeAAAU","GUIDING HARBOR","Child Placing Agency: Private","Belleville","Wayne","2024-06-10","Girlstown Foundation","2026-06-09","CB820201144","Regular","7346977242","48111-3665"
"2218 SHUNK RD, SAULT S MARIE, Chippewa, MI 49783-9467, UNITED STATES","a0i8z0000006TflAAE","SAULT TRIBE BINOGII - PLACEMENT","Child Placing Agency: Government Non-MDHHS","Sault S Marie","Chippewa","2024-06-25","Sault Tribe of Chippewa Indians","2026-06-24","CN170201399","Regular","9066325250","49783-9467"
"17940 FARMINGTON RD, LIVONIA, Wayne, MI 48152-4444, UNITED STATES","a0i8z0000006TfmAAE","FOREVER FAMILIES","Child Placing Agency: Private","Livonia","Wayne","2025-12-10","Forever Families Inc","2027-12-09","CB820201130","Regular","7347620909","48152-4444"
"51111 WOODWARD AVE, PONTIAC, Oakland, MI 48342-5037, UNITED STATES","a0i8z0000006TfnAAE","OAKLAND COUNTY DHHS","Child Placing Agency: MDHHS","Pontiac","Oakland","2024-12-06","Michigan Department of Health and Human Services","2026-12-05","CP630201334","Regular","2489754801","48342-5037"
"5303 S CEDAR ST, LANSING, Ingham, MI 48911-3800, UNITED STATES","a0i8z0000006TiFAAU","INGHAM COUNTY DHHS","Child Placing Agency: MDHHS","Lansing","Ingham","2024-11-30","Michigan Department of Health and Human Services","2026-11-29","CP330201190","Regular","5178879791","48911-3800"
"234 W BARAGA AVE, MARQUETTE, Marquette, MI 49855-4710, UNITED STATES","a0i8z0000006UrFAAU","MARQUETTE/ALGER/SCHOOLCRAFT MDHHS","Child Placing Agency: MDHHS","Marquette","Marquette","2024-08-01","Michigan Department of Health and Human Services","2026-07-31","CP520201281","Regular","9062289691","49855-4710"
"512 S GRAND TRAVERSE ST, FLINT, Genesee, MI 48502-1207, UNITED STATES","a0i8z0000006UsSAAU","TRAVERSE PLACE","Child Placing Agency: Private","Flint","Genesee","2024-11-02","Genesee County Youth Corp Inc","2026-11-01","CB250201474","Regular","8183416328","48502-1207"
"369 US HIGHWAY 41 E, NEGAUNEE, Marquette, MI 49866-9624, UNITED STATES","a0i8z0000006UsTAAU","UPPER PENINSULA FAMILY SOLUTIONS","Child Placing Agency: Private","Negaunee","Marquette","2024-05-19","Upper Peninsula Family Solutions","2026-05-18","CB520304693","Regular","9062731095","49866-9624"
"2172 Dean Lake Ave NE, Grand Rapids, Kent, MI 49505-4444, UNITED STATES","a0i8z0000006UtqAAE","DA BLODGETT FOR CHILDREN","Child Placing Agency: Private","Grand Rapids","Kent","2024-06-06","DA Blodgett for Children","2026-06-05","CB410201088","Regular","6164512021","49505-4444"
"2008 HOGBACK RD STE 6, Suite 6, ANN ARBOR, Washtenaw, MI 48105-9751, UNITED STATES","a0i8z0000006UzQAAU","FOSTERING FUTURES","Child Placing Agency: Private","Ann Arbor","Washtenaw","2025-08-11","Fostering Futures","2027-08-10","CB810302599","Regular","7344174287","48105-9751"
"811 PORT ST, SAINT JOSEPH, Berrien, MI 49085-1183, UNITED STATES","a0i8z0000006UzRAAU","BERRIEN COUNTY PROBATE COURT","Child Placing Agency: Approved Governmental Unit","Saint Joseph","Berrien","2024-06-11","Berrien County Trial Court-Family Division","2026-06-10","CA110200973","Regular","2699837111","49085-1183"
"1022 W Genesee St, Lapeer, Lapeer, MI 48446-1876, UNITED STATES","a0i8z0000006UzTAAU","LAPEER COUNTY DHHS","Child Placing Agency: MDHHS","Lapeer","Lapeer","2025-09-26","Michigan Department of Health and Human Services","2027-09-25","CP440201239","Regular","8106670800","48446-1876"
"3 PARKLANE BLVD STE 730W, Suite 730W, DEARBORN, Wayne, MI 48126-2502, UNITED STATES","a0i8z0000006V5BAAU","JUDSON CPA","Child Placing Agency: Private","Dearborn","Wayne","2025-08-16","Judson Center","2027-08-15","CB820201212","Regular","3137945653","48126-2502"
"3785 VETERANS DR, TRAVERSE CITY, Grand Traverse, MI 49684-4516, UNITED STATES","a0i8z0000006V6aAAE","Child & Family Services of Northwestern Michigan","Child Placing Agency: Private","Traverse City","Grand Traverse","2025-04-05","Child & Family Services of NW Michigan Inc","2027-04-04","CB280201037","Regular","2319468975","49684-4516"
"40 CARE DR, HILLSDALE, Hillsdale, MI 49242-5039, UNITED STATES","a0i8z0000006V6bAAE","HILLSDALE COUNTY DHHS","Child Placing Agency: MDHHS","HILLSDALE","Hillsdale","2024-03-12","Michigan Department of Health and Human Services","2026-03-11","CP300201172","Regular","5174392200","49242-5039"
"2080 UNION AVE SE STE A, Suite A, GRAND RAPIDS, Kent, MI 49507-3247, UNITED STATES","a0i8z0000006V7wAAE","SAMARITAS -  WEST","Child Placing Agency: Private","GRAND RAPIDS","Kent","2024-09-23","Samaritas","2026-09-22","CB410201266","Regular","6163561934","49507-3247"
"30600 Telegraph Rd, Suite 4290, Bingham Farms, Oakland, MI 48025-4550, UNITED STATES","a0i8z0000006V9JAAU","WELLSPRING LUTHERAN SERVICES BINGHAM FARMS","Child Placing Agency: Private","Bingham Farms","Oakland","2025-05-09","Wellspring Lutheran Services","2027-05-08","CB630201261","Regular","2489680100","48025-4550"
"8131 E JEFFERSON AVE, DETROIT, Wayne, MI 48214-2610, UNITED STATES","a0i8z0000006V9KAAU","SAMARITAS - SOUTHEAST","Child Placing Agency: Private","Detroit","Wayne","2025-10-15","Samaritas","2027-10-14","CB820201265","Regular","2484232760","48214-2610"
"8625 GREENFIELD RD, DETROIT, Wayne, MI 48228-2224, UNITED STATES","a0i8z0000006VAjAAM","WAYNE COUNTY DHHS - NORTHCENTRAL","Child Placing Agency: MDHHS","Detroit","Wayne","2025-12-28","Michigan Department of Health and Human Services","2027-12-27","CP820201495","Regular","3138521709","48228-2224"
"444 E HOUGHTON AVE, WEST BRANCH, Ogemaw, MI 48661-1130, UNITED STATES","a0i8z0000006VC7AAM","Ogemaw/Roscommon County DHHS","Child Placing Agency: MDHHS","West Branch","Ogemaw","2025-09-15","Michigan Department of Health and Human Services","2027-09-14","CP650201338","Regular","9893545135","48661-1130"
"2453 28TH ST NW, WYOMING, Kent, MI 49519-2103, UNITED STATES","a0i8z0000006VC8AAM","GREATER HOPES FAMILY SERVICES,INC.","Child Placing Agency: Private","WYOMING","Kent","2025-05-06","Greater Hopes Inc","2027-05-05","CB410252631","Regular","6164510245","49519-2103"
"1055 CARRIAGE HILL DR, TRAVERSE CITY, Grand Traverse, MI 49686-5161, UNITED STATES","a0i8z0000006WLZAA2","BETHANY CHRISTIAN SERVICES-TRAVERSE CITY","Child Placing Agency: Private","Traverse City","Grand Traverse","2024-10-11","Bethany Christian Services Inc","2026-10-10","CB280235713","Regular","2319950870","49686-5161"
"920 E LINCOLN AVE, IONIA, Ionia, MI 48846-1393, UNITED STATES","a0i8z0000006WMsAAM","Ionia/Montcalm County DHHS","Child Placing Agency: MDHHS","Ionia","Ionia","2025-04-17","Michigan Department of Health and Human Services","2027-04-16","CP340201198","Regular","6165275200","48846-1393"
"11335 JAMES ST, HOLLAND, Ottawa, MI 49424-8627, UNITED STATES","a0i8z0000006WOPAA2","BETHANY CHRISTIAN SERVICES INC-HOLLAND","Child Placing Agency: Private","Holland","Ottawa","2024-08-01","Bethany Christian Services Inc","2026-07-31","CB700200981","Regular","6163960623","49424-8627"
"1545 KEYSTONE AVE, LANSING, Ingham, MI 48911-4039, UNITED STATES","a0i8z0000006WTvAAM","SAMARITAS - REFUGEE","Child Placing Agency: Private","Lansing","Ingham","2025-10-17","Samaritas","2027-10-16","CB330201264","Regular","5173217663","48911-4039"
"1288 W Grand River Ave, Suite 100, Williamston, Ingham, MI 48895-8305, UNITED STATES","a0i8z0000006WVaAAM","ENNIS CENTER FOR CHILDREN - Williamston","Child Placing Agency: Private","Williamston","Ingham","2024-05-19","Ennis Center for Children Inc","2026-05-18","CB330410104","Regular","5178810723","48895-8305"
"44777 N Gratiot Ave, Clinton Township, Macomb, MI 48036-1362, UNITED STATES","a0i8z0000006WYEAA2","MACOMB COUNTY DHHS","Child Placing Agency: MDHHS","Clinton Township","Macomb","2024-09-21","Michigan Department of Health and Human Services","2026-09-20","CP500201269","Regular","5864697700","48036-1362"
"1110 HOWARD ST, SAGINAW, Saginaw, MI 48601-2734, UNITED STATES","a0i8z0000006WYFAA2","Innerlink Transitional Living Program","Child Placing Agency: Private","Saginaw","Saginaw","2025-02-24","Saginaw Co Youth Prot Council","2027-02-23","CB730201194","Regular","9897533431","48601-2734"
"18000 W 9 MILE RD STE 950, Suite 950, SOUTHFIELD, Oakland, MI 48075-4017, UNITED STATES","a0i8z0000006WYHAA2","BETHANY CHRISTIAN SERVICES - Southfield","Child Placing Agency: Private","Southfield","Oakland","2025-12-08","Bethany Christian Services Inc","2027-12-07","CB630200978","Regular","2484144080","48075-4017"
"1260 S OTSEGO AVE, GAYLORD, Otsego, MI 49735-9587, UNITED STATES","a0i8z0000006WZjAAM","WELLSPRING LUTHERAN SERVICES GAYLORD","Child Placing Agency: Private","Gaylord","Otsego","2025-01-16","Wellspring Lutheran Services","2027-01-15","CB690358779","Regular","9897321040","49735-9587"
"13101 ALLEN RD, SOUTHGATE, Wayne, MI 48195-2216, UNITED STATES","a0i8z0000006WZkAAM","THE GUIDANCE CENTER","Child Placing Agency: Private","Southgate","Wayne","2025-08-02","The Guidance Center","2027-08-01","CB820405659","Regular","7347857700","48195-2216"
"1801 E CANFIELD ST, DETROIT, Wayne, MI 48207-4635, UNITED STATES","a0i8z0000006Wb5AAE","WAYNE COUNTY DHHS - SOUTHCENTRAL","Child Placing Agency: MDHHS","Detroit","Wayne","2025-10-23","Michigan Department of Health and Human Services","2027-10-22","CP820201496","Regular","3135785102","48207-4635"
"57150 COUNTY ROAD 681, HARTFORD, Van Buren, MI 49057-9400, UNITED STATES","a0i8z0000006Wb6AAE","Van Buren County DHHS","Child Placing Agency: MDHHS","Hartford","Van Buren","2024-03-31","Michigan Department of Health and Human Services","2026-03-30","CP800201480","Regular","2696212800","49057-9400"
"10641 W WATERGATE RD, CADILLAC, Missaukee, MI 49601-9424, UNITED STATES","a0i8z0000006WcJAAU","WEXFORD/MISSAUKEE COUNTY DHHS","Child Placing Agency: MDHHS","Cadillac","Missaukee","2025-09-02","Michigan Department of Health and Human Services","2027-09-01","CP830201508","Regular","2317794500","49601-9424"
"22 CENTER ST, YPSILANTI, Washtenaw, MI 48198-5707, UNITED STATES","a0i8z0000006WdkAAE","WASHTENAW COUNTY DHHS","Child Placing Agency: MDHHS","Ypsilanti","Washtenaw","2024-11-05","Michigan Department of Health and Human Services","2026-11-04","CP810201490","Regular","7344818364","48198-5707"
"175 W APPLE AVE, MUSKEGON, Muskegon, MI 49440-1379, UNITED STATES","a0i8z0000006WdlAAE","Bethany Christian Services-Muskegon","Child Placing Agency: Private","Muskegon","Muskegon","2025-01-27","Bethany Christian Services Inc","2027-01-26","CB610200977","Regular","2319243390","49440-1379"
"427 E Alcott St, Kalamazoo, Kalamazoo, MI 49001-6170, UNITED STATES","a0i8z0000006WdmAAE","KALAMAZOO COUNTY DHHS","Child Placing Agency: MDHHS","KALAMAZOO","Kalamazoo","2025-03-25","Michigan Department of Health and Human Services","2027-03-24","CP390201215","Regular","2693375000","49001-6170"
"8131 E Jefferson Ave, Detroit, Wayne, MI 48214-2610, UNITED STATES","a0i8z0000006WdnAAE","Legacy Adoption Services - East","Child Placing Agency: Private","Detroit","Wayne","2025-01-25","Lutheran Adoption Services, Inc.","2027-01-24","CB820201258","Regular","2484232770","48214-2610"
"1044 US HIGHWAY 23 N, ALPENA, Alpena, MI 49707-1250, UNITED STATES","a0i8z0000006WdoAAE","CHILD & FAMILY SERVICES - NORTHEAST MICHIGAN","Child Placing Agency: Private","Alpena","Alpena","2024-12-21","Child Family Services of NE Mich","2026-12-20","CB040201041","Regular","9893564567","49707-1250"
"190 E MICHIGAN AVE, BATTLE CREEK, Calhoun, MI 49014-4005, UNITED STATES","a0i8z0000006WdpAAE","CALHOUN COUNTY DHHS","Child Placing Agency: MDHHS","Battle Creek","Calhoun","2024-07-21","Michigan Department of Health and Human Services","2026-07-20","CP130201006","Regular","2699661414","49014-4005"
"27540 MICHIGAN AVE, INKSTER, Wayne, MI 48141-2202, UNITED STATES","a0i8z0000006Wf5AAE","WAYNE COUNTY DHHS - WESTERN","Child Placing Agency: MDHHS","Inkster","Wayne","2025-11-23","Michigan Department of Health and Human Services","2027-11-22","CP820201497","Regular","3132958017","48141-2202"
"301 STATE ST, CHARLEVOIX, Charlevoix, MI 49720-1396, UNITED STATES","a0i8z0000006Wf7AAE","CHARLEVOIX COUNTY PROBATE & FAMILY COURT","Child Placing Agency: Approved Governmental Unit","Charlevoix","Charlevoix","2026-01-04","Charlevoix County Probate & Family Court","2028-01-03","CA150201032","Regular","2315477215","49720-1396"
"729 W MICHIGAN AVE, JACKSON, Jackson, MI 49201-1920, UNITED STATES","a0i8z0000006WggAAE","SAMARITAS - MID MI","Child Placing Agency: Private","Jackson","Jackson","2024-07-03","Samaritas","2026-07-02","CB380201255","Regular","5177896444","49201-1920"
"612 W LK LANSING RDSTE600, EAST LANSING, Ingham, MI 48823-8534, UNITED STATES","a0i8z0000006YvMAAU","BETHANY CHRISTIAN SERVICES-EAST LANSING","Child Placing Agency: Private","EAST LANSING","Ingham","2024-03-08","Bethany Christian Services Inc","2026-03-07","CB330314400","Regular","5173360191","48823-8534"
"2229 SUMMIT PARK DR, PETOSKEY, Emmet, MI 49770-8636, UNITED STATES","a0i8z0000006YvOAAU","ANTRIM/CHARLEVOIX/EMMET COUNTY DHHS","Child Placing Agency: MDHHS","Petoskey","Emmet","2024-09-01","Michigan Department of Health and Human Services","2026-08-31","CP240201034","Regular","2313481600","49770-8636"
"3075 E GRAND RIVER AVE, HOWELL, Livingston, MI 48843-6584, UNITED STATES","a0i8z0000006YvQAAU","FAMILY AND COMMUNITY SERVICES-LIVINGSTON","Child Placing Agency: Private","Howell","Livingston","2025-05-15","Family & Community Services Inc","2027-05-14","CB470382419","Regular","5176151275","48843-6584"
"24901 NORTHWESTERN HWY STE 500, Suite 500, SOUTHFIELD, Oakland, MI 48075-2212, UNITED STATES","a0i8z0000006Z3BAAU","ORCHARDS CHILDRENS SERVICES","Child Placing Agency: Private","Southfield","Oakland","2025-02-06","Orchards Children's Services Inc","2027-02-05","CB630201342","Regular","2485932100","48075-2212"
"1201 N GRAND TRAVERSE ST, FLINT, Genesee, MI 48503-1312, UNITED STATES","a0i8z0000006Z4dAAE","WHALEY CHILDREN'S CENTER- Journey House","Child Placing Agency: Private","Flint","Genesee","2024-11-10","Whaley Children's Center","2026-11-09","CB250410563","Regular","8102343603","48503-1312"
"407 W Greenlawn Ave, Lansing, Ingham, MI 48910-2819, UNITED STATES","a0i8z0000006ZKOAA2","CHILD AND FAMILY CHARITIES","Child Placing Agency: Private","Lansing","Ingham","2025-09-19","Child and Family Charities","2027-09-18","CB330201039","Regular","5178824000","48910-2819"
"4507 170TH AVE, HERSEY, Osceola, MI 49639-8785, UNITED STATES","a0i8z0000006ZKPAA2","EAGLE VILLAGE, INC.","Child Placing Agency: Private","Hersey","Osceola","2025-03-31","Eagle Village Inc","2027-03-30","CB670201101","Regular","2318322234","49639-8785"
"20651 W WARREN ST, DEARBORN HTS, Wayne, MI 48127-2622, UNITED STATES","a0i8z0000006ZKQAA2","VISTA MARIA FOSTER CARE","Child Placing Agency: Private","Dearborn Hts","Wayne","2025-08-13","Sisters of Good Shepherd","2027-08-12","CB820201485","Regular","3132713050","48127-2622"
"4925 PACKARD ST, ANN ARBOR, Washtenaw, MI 48108-1521, UNITED STATES","a0i8z0000006ZKRAA2","Catholic Charities Washtenaw County","Child Placing Agency: Private","Ann Arbor","Washtenaw","2026-02-07","Catholic Social Services of Washtenaw","2028-02-06","CB810201018","Regular","3139719781","48108-1521"
"26645 W 6 MILE RD, DETROIT, Wayne, MI 48240-2319, UNITED STATES","a0i8z0000006ZLjAAM","METHODIST CHILDREN'S HOME SOCIETY","Child Placing Agency: Private","Detroit","Wayne","2025-02-01","Methodist Children's Home Society","2027-01-31","CB820201295","Regular","3135314060","48240-2319"
"1509 WASHINGTON ST STE A, Suite A, MIDLAND, Midland, MI 48640-5612, UNITED STATES","a0i8z0000006ZW9AAM","MIDLAND/GLADWIN COUNTY DHHS","Child Placing Agency: MDHHS","Midland","Midland","2024-05-16","Michigan Department of Health and Human Services","2026-05-15","CP560201302","Regular","9898391100","48640-5612"
"301 E LEAD ST, BESSEMER, Gogebic, MI 49911-1459, UNITED STATES","a0i8z0000006ZXaAAM","GOGEBIC/IRON/ONTONAGON DHHS","Child Placing Agency: MDHHS","Bessemer","Gogebic","2025-05-31","Michigan Department of Health and Human Services","2027-05-30","CP270201149","Regular","","49911-1459"
"715 PYLE DR, KINGSFORD, Dickinson, MI 49802-4456, UNITED STATES","a0i8z0000006ZXcAAM","NORTHPOINTE BEHAVIORAL HEALTHCARE SYSTEMS","Child Placing Agency: Government Non-MDHHS","Kingsford","Dickinson","2025-02-20","Northpointe Behavioral Healthcare Systems","2027-02-19","CN220269295","Regular","9067740522","49802-4456"
"5397 MILLINGTON RD, MILLINGTON, Tuscola, MI 48746-8701, UNITED STATES","a0i8z0000006ZXdAAM","NEW LIGHT CHILD & FAMILY INSTITUTE","Child Placing Agency: Private","Millington","Tuscola","2025-11-24","New Light Child & Family Institute","2027-11-23","CB790290893","Regular","9898716695","48746-8701"
"3712 E ASHMAN ST, MIDLAND, Midland, MI 48642-9314, UNITED STATES","a0i8z0000006ZZ1AAM","42ND CIRCUIT COURT - FAMILY DIVISION","Child Placing Agency: Approved Governmental Unit","Midland","Midland","2024-08-01","42nd Circuit Court","2026-07-31","CA560234172","Regular","9898376086","48642-9314"
"548 E GRAND BLVD, DETROIT, Wayne, MI 48207-3534, UNITED STATES","a0i8z0000006ZetAAE","Transitional Living Program","Child Placing Agency: Private","Detroit","Wayne","2024-09-21","Federation of Youth Services","2026-09-20","CB820201475","Regular","3135714707","48207-3534"
"16250 NORTHLAND DR, SOUTHFIELD, Oakland, MI 48075-5205, UNITED STATES","a0i8z0000006ZexAAE","SPECTRUM HUMAN SERVICES","Child Placing Agency: Private","Southfield","Oakland","2025-07-08","Spectrum Child & Family Services","2027-07-07","CB630201417","Regular","2485528020","48075-5205"
"3597 HENRY ST, NORTON SHORES, Muskegon, MI 49441-6723, UNITED STATES","a0i8z0000006ZgVAAU","Holy Cross Services - Northern Michigan CB","Child Placing Agency: Private","NORTON SHORES","Muskegon","2025-02-19","Holy Cross Children's Services","2027-02-18","CB280200990","Regular","2317692400","49441-6723"
"1430 Military St, Suite 4, Port Huron, Saint Clair, MI 48060-5912, UNITED STATES","a0i8z0000006ZgXAAU","St. Clair-Sanilac MDHHS","Child Placing Agency: MDHHS","Port Huron","Saint Clair","2025-04-30","Michigan Department of Health and Human Services","2027-04-29","CP740201421","Regular","8109662000","48060-5912"
"1715 SUTHERLAND DR, KENTWOOD, Kent, MI 49508-3306, UNITED STATES","a0i8z0000006ZgZAAU","WELLSPRING LUTHERAN SERVICES KENTWOOD","Child Placing Agency: Private","Kentwood","Kent","2024-06-29","Wellspring Lutheran Services","2026-06-28","CB410201260","Regular","6162814601","49508-3306"
"1906 25TH ST, DETROIT, Wayne, MI 48216-1435, UNITED STATES","a0i8z0000006ZgaAAE","HOMES FOR BLACK CHILDREN","Child Placing Agency: Private","Detroit","Wayne","2025-02-08","Homes For Black Children","2027-02-07","CB820201177","Regular","3139614777","48216-1435"
"4081 W POLK RD, HART, Oceana, MI 49420-8177, UNITED STATES","a0i8z0000006aRRAAY","MASON/OCEANA COUNTY DHHS","Child Placing Agency: MDHHS","Hart","Oceana","2024-07-08","Michigan Department of Health and Human Services","2026-07-07","CP640201336","Regular","2318737251","49420-8177"
"427 S STEPHENSON AVE STE 215, Suite 215, IRON MOUNTAIN, Dickinson, MI 49801-3458, UNITED STATES","a0i8z0000006aRVAAY","CATHOLIC SOCIAL SERVICES OF THE UPPER PENINSU","Child Placing Agency: Private","Iron Mountain","Dickinson","2025-06-02","Catholic Diocese of Marquette","2027-06-01","CB220201016","Regular","9062288630","49801-3458"
"800 WATER TOWER RD, BIG RAPIDS, Mecosta, MI 49307-2161, UNITED STATES","a0i8z0000006aRWAAY","MECOSTA/OSCEOLA DHHS","Child Placing Agency: MDHHS","Big Rapids","Mecosta","2024-11-16","Michigan Department of Health and Human Services","2026-11-15","CP540201288","Regular","2317964300","49307-2161"
"388 KEITH WILHELM DR, COLDWATER, Branch, MI 49036-8244, UNITED STATES","a0i8z0000006aRYAAY","BRANCH COUNTY DHHS","Child Placing Agency: MDHHS","COLDWATER","Branch","2025-10-29","Michigan Department of Health and Human Services","2027-10-28","CP120200999","Regular","5179329073","49036-8244"
"121 MARTIN LUTHER KING JR ST SE, GRAND RAPIDS, Kent, MI 49507-1132, UNITED STATES","a0i8z0000006aRZAAY","KENT COUNTY DHHS","Child Placing Agency: MDHHS","Grand Rapids","Kent","2025-07-28","Michigan Department of Health and Human Services","2027-07-27","CP410201222","Regular","6162476005","49507-1132"
"2700 BAKER ST, MUSKEGON HEIGHTS, Muskegon, MI 49444-2157, UNITED STATES","a0i8z0000006agTAAQ","MUSKEGON COUNTY DHHS","Child Placing Agency: MDHHS","Muskegon Heights","Muskegon","2025-12-29","Michigan Department of Health and Human Services","2026-06-26","CP610201318","1st Provisional","2317333700","49444-2157"
"401 8TH ST, BENTON HARBOR, Berrien, MI 49022-5005, UNITED STATES","a0i8z0000006agVAAQ","BERRIEN COUNTY DHHS","Child Placing Agency: MDHHS","Benton Harbor","Berrien","2025-04-16","Michigan Department of Health and Human Services","2027-04-15","CP110200971","Regular","2699342000","49022-5005"
"1720 PARK ST, MUSKEGON, Muskegon, MI 49441-2403, UNITED STATES","a0i8z0000006agWAAQ","CATHOLIC CHARITIES WEST MICHIGAN - MUSKEGON","Child Placing Agency: Private","Muskegon","Muskegon","2025-07-31","Catholic Charities West Michigan","2027-07-30","CB610201023","Regular","2317264735","49441-2403"
